#contig	Name	Description	start	stop	chr
chr1	ENSG00000227232.5	WASH7P	14409	29553	1
chr1	ENSG00000268903.1	RP11-34P13.15	135140	135895	1
chr1	ENSG00000269981.1	RP11-34P13.16	137681	137965	1
chr1	ENSG00000239906.1	RP11-34P13.14	139789	140339	1
chr1	ENSG00000279457.4	RP11-34P13.18	185216	195411	1
chr1	ENSG00000225972.1	MTND1P23	629061	629433	1
chr1	ENSG00000225630.1	MTND2P28	629639	630683	1
chr1	ENSG00000237973.1	MTCO1P12	631073	632616	1
chr1	ENSG00000229344.1	MTCO2P12	632756	633438	1
chr1	ENSG00000240409.1	MTATP8P1	633534	633695	1
chr1	ENSG00000248527.1	MTATP6P1	633741	634375	1
chr1	ENSG00000198744.5	MTCO3P12	634376	634922	1
chr1	ENSG00000225880.5	LINC00115	826205	827522	1
chr1	ENSG00000223764.2	RP11-54O7.3	916869	919692	1
chr1	ENSG00000187634.11	SAMD11	923927	944203	1
chr1	ENSG00000187961.13	KLHL17	960586	965715	1
chr1	ENSG00000272512.1	RP11-54O7.17	995965	998051	1
chr1	ENSG00000188290.10	HES4	998961	1000172	1
chr1	ENSG00000187608.8	ISG15	1001137	1014541	1
chr1	ENSG00000188157.14	AGRN	1020122	1056118	1
chr1	ENSG00000272141.1	RP11-465B22.8	1169356	1170343	1
chr1	ENSG00000205231.1	TTLL10-AS1	1173055	1179555	1
chr1	ENSG00000162571.13	TTLL10	1179188	1197935	1
chr1	ENSG00000186891.13	TNFRSF18	1203507	1206691	1
chr1	ENSG00000186827.10	TNFRSF4	1211325	1214132	1
chr1	ENSG00000176022.4	B3GALT6	1232264	1235041	1
chr1	ENSG00000184163.3	C1QTNF12	1242452	1246722	1
chr1	ENSG00000260179.1	RP5-902P8.12	1249776	1251334	1
chr1	ENSG00000230415.1	LINC01786	1275222	1280420	1
chr1	ENSG00000162572.20	SCNN1D	1280435	1292029	1
chr1	ENSG00000224051.6	CPTP	1324755	1328897	1
chr1	ENSG00000162576.16	MXRA8	1352688	1361777	1
chr1	ENSG00000224870.6	RP4-758J18.2	1399521	1401907	1
chr1	ENSG00000272455.1	RP4-758J18.13	1409095	1410618	1
chr1	ENSG00000235098.8	ANKRD65	1418419	1421769	1
chr1	ENSG00000225905.1	RP4-758J18.7	1422468	1422691	1
chr1	ENSG00000225285.1	LINC01770	1430538	1434573	1
chr1	ENSG00000179403.11	VWA1	1434860	1442882	1
chr1	ENSG00000215915.9	ATAD3C	1449688	1470158	1
chr1	ENSG00000205090.8	TMEM240	1535173	1540453	1
chr1	ENSG00000228594.3	FNDC10	1598011	1600096	1
chr1	ENSG00000197530.12	MIB2	1615878	1630610	1
chr1	ENSG00000189409.13	MMP23B	1632094	1635226	1
chr1	ENSG00000189339.11	SLC35E2B	1659528	1692728	1
chr1	ENSG00000269737.2	RP11-345P4.6	1671989	1674397	1
chr1	ENSG00000008128.22	CDK11A	1702729	1724324	1
chr1	ENSG00000227775.3	RP1-283E3.4	1724511	1737251	1
chr1	ENSG00000215790.6	SLC35E2	1724837	1745992	1
chr1	ENSG00000178821.12	TMEM52	1917589	1919273	1
chr1	ENSG00000142609.17	CFAP74	1921950	2003837	1
chr1	ENSG00000187730.8	GABRD	2019297	2030758	1
chr1	ENSG00000067606.16	PRKCZ	2050469	2175313	1
chr1	ENSG00000182873.5	PRKCZ-AS1	2181793	2184389	1
chr1	ENSG00000116151.13	MORN1	2321252	2391707	1
chr1	ENSG00000269896.2	RP4-740C4.5	2350413	2352820	1
chr1	ENSG00000272420.1	RP4-740C4.7	2363060	2363628	1
chr1	ENSG00000149527.17	PLCH2	2425979	2505526	1
chr1	ENSG00000197921.5	HES5	2528744	2530245	1
chr1	ENSG00000272449.1	RP3-395M20.12	2546464	2547460	1
chr1	ENSG00000238164.6	RP3-395M20.8	2549919	2557031	1
chr1	ENSG00000228037.1	RP3-395M20.9	2581559	2584533	1
chr1	ENSG00000157870.14	FAM213B	2586490	2591469	1
chr1	ENSG00000142606.15	MMEL1	2591556	2632990	1
chr1	ENSG00000215912.12	TTC34	2635975	2801717	1
chr1	ENSG00000283259.1	ABC14-1188822O7.1	2773602	2776473	1
chr1	ENSG00000177133.10	LINC00982	3059614	3068437	1
chr1	ENSG00000142611.16	PRDM16	3069167	3438621	1
chr1	ENSG00000130762.14	ARHGEF16	3454425	3481113	1
chr1	ENSG00000162591.15	MEGF6	3489919	3611495	1
chr1	ENSG00000238260.1	RP11-46F15.2	3623189	3624743	1
chr1	ENSG00000078900.14	TP73	3652519	3735600	1
chr1	ENSG00000235169.7	SMIM1	3772787	3775982	1
chr1	ENSG00000272153.1	RP1-286D6.5	3785007	3785538	1
chr1	ENSG00000169598.15	DFFB	3857266	3885429	1
chr1	ENSG00000196581.10	AJAP1	4654731	4792534	1
chr1	ENSG00000069424.14	KCNAB2	5991465	6101193	1
chr1	ENSG00000158286.12	RNF207	6206175	6221192	1
chr1	ENSG00000158292.6	GPR153	6247345	6260975	1
chr1	ENSG00000069812.11	HES2	6412417	6424670	1
chr1	ENSG00000187017.15	ESPN	6424787	6460980	1
chr1	ENSG00000215788.9	TNFRSF25	6461150	6466091	1
chr1	ENSG00000171680.21	PLEKHG5	6466195	6520061	1
chr1	ENSG00000116273.5	PHF13	6613684	6624033	1
chr1	ENSG00000269978.1	RP11-338N10.3	7700703	7700970	1
chr1	ENSG00000269925.1	RP3-467L1.6	7776382	7776775	1
chr1	ENSG00000049246.14	PER3	7784319	7845177	1
chr1	ENSG00000236266.1	RP3-467L1.4	7810241	7827117	1
chr1	ENSG00000049247.13	UTS2	7846691	7853512	1
chr1	ENSG00000116285.12	ERRFI1	8004403	8026308	1
chr1	ENSG00000074800.13	ENO1	8861001	8879249	1
chr1	ENSG00000142583.17	SLC2A5	9035106	9088478	1
chr1	ENSG00000228526.6	MIR34AHG	9148010	9196983	1
chr1	ENSG00000171621.13	SPSB1	9292879	9369532	1
chr1	ENSG00000171612.6	SLC25A33	9539481	9585179	1
chr1	ENSG00000171608.15	PIK3CD	9651731	9729025	1
chr1	ENSG00000178585.14	CTNNBIP1	9848275	9910336	1
chr1	ENSG00000173614.13	NMNAT1	9943427	9985501	1
chr1	ENSG00000162444.11	RBP7	9997205	10016020	1
chr1	ENSG00000142657.20	PGD	10398591	10420144	1
chr1	ENSG00000175279.21	CENPS	10430782	10442809	1
chr1	ENSG00000130940.14	CASZ1	10636603	10796650	1
chr1	ENSG00000272078.1	RP4-734G22.3	10640059	10654333	1
chr1	ENSG00000009724.16	MASP2	11026522	11047233	1
chr1	ENSG00000271895.2	RP4-635E18.8	11029658	11030528	1
chr1	ENSG00000116649.9	SRM	11054588	11060024	1
chr1	ENSG00000171819.4	ANGPTL7	11189340	11195981	1
chr1	ENSG00000120942.13	UBIAD1	11273205	11296049	1
chr1	ENSG00000116661.9	FBXO2	11648366	11655785	1
chr1	ENSG00000242349.5	NPPA-AS1	11843703	11848079	1
chr1	ENSG00000175206.10	NPPA	11845766	11848345	1
chr1	ENSG00000120937.8	NPPB	11857463	11858931	1
chr1	ENSG00000083444.16	PLOD1	11934204	11975538	1
chr1	ENSG00000120949.14	TNFRSF8	12063376	12144207	1
chr1	ENSG00000028137.18	TNFRSF1B	12167038	12209228	1
chr1	ENSG00000239149.1	SNORA59A	12507245	12507397	1
chr1	ENSG00000162496.8	DHRS3	12567909	12617731	1
chr1	ENSG00000272482.1	RP11-474O21.5	12618899	12619244	1
chr1	ENSG00000157330.9	C1orf158	12746214	12763699	1
chr1	ENSG00000162493.16	PDPN	13583464	13617957	1
chr1	ENSG00000189337.16	KAZN	13892791	15118043	1
chr1	ENSG00000142621.19	FHAD1	15247271	15400283	1
chr1	ENSG00000142615.7	CELA2A	15456727	15472091	1
chr1	ENSG00000237938.5	RP11-288I21.1	15720311	15736896	1
chr1	ENSG00000162461.7	SLC25A34	15736404	15741396	1
chr1	ENSG00000162458.12	FBLIM1	15756606	15786594	1
chr1	ENSG00000178715.8	RP11-169K16.8	15828231	15828669	1
chr1	ENSG00000173641.17	HSPB7	16014027	16019594	1
chr1	ENSG00000142627.12	EPHA2	16124336	16156087	1
chr1	ENSG00000142632.16	ARHGEF19	16198216	16212609	1
chr1	ENSG00000132881.11	RSG1	16231699	16237162	1
chr1	ENSG00000233929.1	MT1XP1	16241212	16241398	1
chr1	ENSG00000226029.1	LINC01772	16460947	16463287	1
chr1	ENSG00000080947.14	CROCCP3	16467435	16499257	1
chr1	ENSG00000219481.10	NBPF1	16562318	16613562	1
chr1	ENSG00000215908.10	CROCCP2	16618252	16657232	1
chr1	ENSG00000186301.8	MST1P2	16645621	16650289	1
chr1	ENSG00000186715.10	MST1L	16754909	16770237	1
chr1	ENSG00000238142.1	RP11-108M9.4	16888537	16889649	1
chr1	ENSG00000235241.1	RP11-108M9.5	16889094	16889547	1
chr1	ENSG00000058453.16	CROCC	16921949	16972979	1
chr1	ENSG00000117122.13	MFAP2	16974501	16980835	1
chr1	ENSG00000117115.12	PADI2	17066760	17119435	1
chr1	ENSG00000159339.13	PADI4	17308194	17364004	1
chr1	ENSG00000117154.11	IGSF21	18107745	18378482	1
chr1	ENSG00000179023.8	KLHDC7A	18480981	18486126	1
chr1	ENSG00000272084.1	RP5-1126H10.2	19072109	19075511	1
chr1	ENSG00000127481.14	UBR4	19076739	19210276	1
chr1	ENSG00000053372.4	MRTO4	19251552	19260128	1
chr1	ENSG00000162482.4	AKR7A3	19282557	19289250	1
chr1	ENSG00000040487.12	PQLC2	19312325	19329300	1
chr1	ENSG00000226396.1	RP5-1056L3.3	19608113	19608568	1
chr1	ENSG00000158747.13	NBL1	19640553	19658456	1
chr1	ENSG00000188257.10	PLA2G2A	19975430	19980416	1
chr1	ENSG00000127472.10	PLA2G5	20028178	20091190	1
chr1	ENSG00000117215.14	PLA2G2D	20111938	20119566	1
chr1	ENSG00000162543.5	UBXN10	20186084	20196048	1
chr1	ENSG00000162545.5	CAMK2N1	20482390	20486220	1
chr1	ENSG00000090432.6	MUL1	20499447	20508161	1
chr1	ENSG00000183114.7	FAM43B	20552438	20555010	1
chr1	ENSG00000158825.5	CDA	20588947	20618908	1
chr1	ENSG00000117245.12	KIF17	20664013	20718017	1
chr1	ENSG00000142794.18	NBPF3	21440127	21485005	1
chr1	ENSG00000162551.13	ALPL	21509371	21578412	1
chr1	ENSG00000076864.19	RAP1GAP	21596214	21669363	1
chr1	ENSG00000142798.17	HSPG2	21827862	21937297	1
chr1	ENSG00000219073.7	CELA3B	21977020	21998642	1
chr1	ENSG00000142789.19	CELA3A	22001655	22012539	1
chr1	ENSG00000218510.6	LINC00339	22024530	22031225	1
chr1	ENSG00000271840.1	RP1-224A6.9	22100612	22101360	1
chr1	ENSG00000237200.1	ZBTB40-IT1	22517473	22519708	1
chr1	ENSG00000173372.16	C1QA	22636505	22639608	1
chr1	ENSG00000159189.11	C1QC	22643629	22648110	1
chr1	ENSG00000173369.15	C1QB	22652761	22661538	1
chr1	ENSG00000169641.13	LUZP1	23084022	23177808	1
chr1	ENSG00000261326.2	LINC01355	23281308	23286752	1
chr1	ENSG00000125945.14	ZNF436	23359447	23368386	1
chr1	ENSG00000249087.6	ZNF436-AS1	23368996	23371839	1
chr1	ENSG00000204219.9	TCEA3	23381060	23424740	1
chr1	ENSG00000007968.6	E2F2	23506429	23531220	1
